window_size,video_id,video_name,identity,accuracy,precision_not_behavior,precision_behavior,recall_not_behavior,recall_behavior,f1_not_behavior,f1_behavior
10,41,org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4,2,0.7151,0.873684,0.52795,0.68595,0.779817,0.768519,0.62963
10,42,org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4,2,0.946629,0.986799,0.716981,0.952229,0.904762,0.969206,0.8
10,43,org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4,0,0.804627,1.0,0.582418,0.731449,1.0,0.844898,0.736111
10,44,org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4,2,0.86087,0.951613,0.754717,0.819444,0.930233,0.880597,0.833333
10,45,org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4,2,0.944649,0.934783,1.0,1.0,0.732143,0.966292,0.845361
10,46,org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4,1,0.968153,0.987854,0.895522,0.972112,0.952381,0.97992,0.923077
10,47,org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4,1,0.470588,0.5,0.464286,0.166667,0.8125,0.25,0.590909
10,48,org-3-uploads-stage.study_470.cage_5026.2025-09-05.02.07.mp4,0,0.877551,1.0,0.777778,0.785714,1.0,0.88,0.875
10,49,org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4,2,0.902564,0.846847,0.97619,0.979167,0.828283,0.908213,0.896175
10,50,org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4,0,0.960526,0.952756,1.0,1.0,0.806452,0.975806,0.892857
10,51,org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4,1,0.95288,0.978873,0.877551,0.958621,0.934783,0.968641,0.905263
10,52,org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4,2,0.835165,1.0,0.605263,0.779412,1.0,0.876033,0.754098
10,53,org-3-uploads-stage.study_460.cage_4979.2025-09-04.05.45.mp4,1,0.829268,0.75,1.0,1.0,0.65,0.857143,0.787879
10,54,org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4,1,0.919708,0.902655,1.0,1.0,0.685714,0.948837,0.813559
10,55,org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4,2,0.808333,1.0,0.634921,0.7125,1.0,0.832117,0.776699
10,56,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4,2,0.96087,0.955,1.0,1.0,0.769231,0.976982,0.869565
10,57,org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4,0,0.876033,0.87069,1.0,1.0,0.25,0.930876,0.4
10,58,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,0,0.771739,1.0,0.511628,0.7,1.0,0.823529,0.676923
10,59,org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4,0,0.851485,0.842697,0.916667,0.986842,0.44,0.909091,0.594595
10,60,org-3-uploads-stage.study_460.cage_4977.2025-09-03.09.07.mp4,0,0.983516,0.973214,1.0,1.0,0.958904,0.986425,0.979021
15,0,org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4,0,0.88785,0.636364,1.0,1.0,0.860465,0.777778,0.925
15,1,org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4,2,0.978022,1.0,0.92,0.970588,1.0,0.985075,0.958333
15,2,org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,1,0.726744,0.773585,0.651515,0.780952,0.641791,0.777251,0.646617
15,4,org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4,0,0.908629,0.897143,1.0,1.0,0.55,0.945783,0.709677
15,5,org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4,1,0.809783,0.816327,0.783784,0.9375,0.517857,0.872727,0.623656
15,6,org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4,2,0.882353,0.972222,0.854701,0.673077,0.990099,0.795455,0.917431
15,7,org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4,2,0.849398,0.908333,0.695652,0.886179,0.744186,0.897119,0.719101
15,8,org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4,0,0.860465,0.966667,0.803571,0.725,0.978261,0.828571,0.882353
15,9,org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4,0,0.936842,1.0,0.777778,0.918919,1.0,0.957746,0.875
15,10,org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4,2,0.95,1.0,0.869565,0.925,1.0,0.961039,0.930233
15,11,org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4,0,0.986667,1.0,0.972222,0.975,1.0,0.987342,0.985915
15,12,org-3-uploads-stage.study_448.cage_4868.2025-10-10.03.46.mp4,1,0.869048,0.92,0.794118,0.867925,0.870968,0.893204,0.830769
15,13,org-3-uploads-stage.study_447.cage_4840.2025-08-23.14.43.mp4,2,0.895349,0.804348,1.0,1.0,0.816327,0.891566,0.898876
15,14,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,0,0.913043,1.0,0.733333,0.885714,1.0,0.939394,0.846154
15,15,org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4,0,0.743243,1.0,0.666667,0.472222,1.0,0.641509,0.8
15,16,org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4,0,0.863354,0.910569,0.710526,0.910569,0.710526,0.910569,0.710526
15,17,org-3-uploads-stage.study_460.cage_4977.2025-09-03.09.07.mp4,0,0.972527,0.95614,1.0,1.0,0.931507,0.977578,0.964539
15,18,org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4,0,0.802057,1.0,0.579235,0.727915,1.0,0.842536,0.733564
15,19,org-3-uploads-stage.study_470.cage_5026.2025-09-05.02.07.mp4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,20,org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4,1,0.955414,0.983673,0.855072,0.960159,0.936508,0.971774,0.893939
15,21,org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4,0,0.94697,0.911392,1.0,1.0,0.883333,0.953642,0.938053
15,22,org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4,0,0.958904,0.972222,0.909091,0.97561,0.897436,0.973913,0.903226
15,23,org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4,1,0.971591,0.962687,1.0,1.0,0.893617,0.980989,0.94382
15,24,org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4,1,0.933162,0.924855,1.0,1.0,0.623188,0.960961,0.767857
15,25,org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4,1,0.825758,0.934783,0.575,0.834951,0.793103,0.882051,0.666667
15,26,org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4,2,0.826087,0.90625,0.72549,0.805556,0.860465,0.852941,0.787234
15,27,org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4,2,0.944649,0.934783,1.0,1.0,0.732143,0.966292,0.845361
15,28,org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4,1,0.80117,0.698113,0.969231,0.973684,0.663158,0.813187,0.7875
15,29,org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4,2,0.735043,0.89418,0.549383,0.698347,0.816514,0.784223,0.656827
15,30,org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4,0,0.993421,0.991803,1.0,1.0,0.967742,0.995885,0.983607
15,31,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4,2,0.934783,0.927184,1.0,1.0,0.615385,0.962217,0.761905
15,32,org-3-uploads-stage.study_447.cage_4840.2025-08-22.01.45.mp4,0,0.62766,0.666667,0.3,0.888889,0.0967742,0.761905,0.146341
15,33,org-3-uploads-stage.study_426.cage_4476.2025-07-26.23.44.mp4,0,0.919355,0.891304,1.0,1.0,0.761905,0.942529,0.864865
15,34,org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4,2,0.871795,0.808696,0.9625,0.96875,0.777778,0.881517,0.860335
15,35,org-3-uploads-stage.study_460.cage_4979.2025-09-04.05.45.mp4,1,0.902439,0.84,1.0,1.0,0.8,0.913043,0.888889
15,36,org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4,2,0.891089,0.985915,0.666667,0.875,0.952381,0.927152,0.784314
15,37,org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4,1,0.941606,0.927273,1.0,1.0,0.771429,0.962264,0.870968
15,38,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4,0,0.860215,0.973913,0.676056,0.82963,0.941176,0.896,0.786885
15,39,org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4,2,0.952247,0.993355,0.727273,0.952229,0.952381,0.972358,0.824742
15,40,org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4,0,0.938636,0.993631,0.908127,0.857143,0.996124,0.920354,0.950092
15,41,org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4,0,0.891892,0.784314,0.983333,0.97561,0.842857,0.869565,0.907692
